"ID"|"階段 (Phase)"|"功能模塊 (Module)"|"子模塊/功能 (Sub-Module/Feature)"|"開發步驟 (Development Step)"|"當前狀態 (Status)"|"AI 提示/開發建議 (AI Prompt/Suggestion)"|"相關模型/文件 (Relevant Models/Files)"|"優先級 (Priority)"
"PH1-01"|"核心基礎"|"使用者系統"|"主頁與科目展示"|"開發一個多功能的儀表板主頁, 按主科目對子科目進行分組展示。為登入用戶顯示個人化資訊, 如歡迎語, 已購狀態和學習進度。"|"已完成"|"當前 HomePageView 實現良好, 有效地利用了 prefetch_related 來優化查詢。前端的 JS 搜索功能可考慮移至後端以支持更複雜的查詢。"|"pages/views.HomePageView, pages/templates/pages/home.html, questions/models.MajorSubject"|"核心"
"PH1-02"|"核心基礎"|"題庫核心"|"科目與題庫模型"|"建立 MajorSubject, Subject, Question, Tag 模型。Question 模型需支持文本/圖片內容, 多種題型, 難度及AI生成標記。"|"已完成"|"模型結構合理, 已包含 price (價格) 和 trial_questions_count (試玩題數) 字段, 為後續功能奠定基礎。"|"questions/models.py"|"核心"
"PH1-03"|"核心基礎"|"題庫核心"|"單題練習模式"|"用戶可針對特定題目進行練習。系統能接收答案, 判斷對錯, 並立即顯示結果與解析。"|"已完成"|"PracticeQuestionView 已實現此功能。其 QuestionAnswerForm 能動態適配不同題型, 設計優良。"|"questions/views.PracticeQuestionView, questions/forms.QuestionAnswerForm, questions/templates/practice_question.html"|"核心"
"PH1-04"|"核心基礎"|"題庫核心"|"科目練習模式 (試玩)"|"用戶可選擇一個科目進行多題練習。此模式整合了試玩邏輯, 未購買的用戶只能練習有限數量的題目。"|"已完成"|"practice_quiz_view 成功實現了此功能, 包含完整的提交、評分和結果展示邏輯。"|"questions/views.practice_quiz_view, questions/templates/practice_quiz_interface.html"|"高"
"PH1-05"|"核心基礎"|"模擬考試"|"模擬考試流程"|"實現完整的模擬考試流程：從隨機抽題開始, 到限時作答, 再到提交後查看詳細的成績報告。"|"已完成"|"exams 應用的 Start/Take/Result 視圖流程清晰, 功能完整。ExamSession 模型設計合理。"|"exams/models.py, exams/views.py, exams/templates/take_exam.html, exams/templates/exam_result.html"|"高"
"PH1-06"|"核心基礎"|"使用者系統"|"基本用戶進度追蹤"|"建立 UserProgress 模型記錄用戶在各科目上的練習次數, 答對題數和最高分。"|"部分完成"|"模型已建立並能記錄分數。待辦： 需新增字段以支持"連續學習天數"和更結構化的"錯題記錄"。"|"progress/models.py"|"高"
"PH1-07"|"核心基礎"|"使用者系統"|"帳號註冊與登入"|"整合 django-allauth, 支持 Email 和 Google 帳號註冊與登入。"|"部分完成"|"Email/Google 登入已配置。待辦： 需在 settings.py 中啟用並配置 Apple OAuth Provider 以完成 Apple 登入功能。"|"core_settings/settings.py, allauth"|"高"
"PH2-01"|"UX & 互動"|"使用者系統"|"進階用戶進度報告"|"建立一個專門的用戶進度頁面, 以圖表 (如 Chart.js) 形式展示學習歷史、各科目強弱項分析。"|"待辦"|"建議： 創建 progress/views.py 和對應的 URL。視圖中查詢 UserProgress 和 ExamSession 的歷史數據, 匯總後傳遞給模板。"|"progress/views.py, progress/urls.py, templates/progress/report.html"|"高"
"PH2-02"|"UX & 互動"|"題庫核心"|"錯題本功能"|"根據 UserProgress 中記錄的錯題 ID, 建立一個頁面讓用戶可以集中練習所有答錯的題目。"|"待辦"|"建議： 擴充 UserProgress 的 details 字段或建立新 WrongAnswer 模型。創建 WrongAnswerView, 查詢錯題並渲染成一個新的練習介面。"|"progress/models.py, questions/views.py (新視圖)"|"高"
"PH2-03"|"UX & 互動"|"題庫核心"|"題目搜索與過濾"|"在科目列表或專門的搜索頁面, 允許用戶按關鍵詞、題型、難度進行題目過濾。"|"待辦"|"建議： 使用 django-filter 套件。為 Question 模型創建一個 FilterSet 類, 並在視圖中整合, 即可輕鬆實現強大的過濾功能。"|"questions/filters.py, questions/views.py"|"中"
